"current_value_exact","proposed_target","entry_count","entry_ids","example_entries","reason_for_human_review","decision_question","risk","confidence"
"ENVIRONMENT_BIODIVERSITY","environnement : biodiversité","1","331","331:BIODIVERSITE","BIODIVERSITE relève de l’environnement et de la biodiversité ; le format hiérarchique reste à décider.","Domaine plat ou hiérarchie environnement/biodiversité ?","moyen","0.6"
"ENVIRONMENT_FIRE","environnement : incendies","1","328","328:INCENDIE","INCENDIE peut relever de l’environnement, des risques ou des incendies.","Environnement, risques, catastrophes ou incendies ?","moyen","0.6"
"VERB_TO_BE","grammaire","1","329","329:ETRE","ETRE peut relever de la grammaire, de l’existence ou des verbes auxiliaires.","Grammaire, existence ou verbe auxiliaire ?","moyen","0.6"
"action","action","32","11 12 52 70 73 76 82 83 85 86 122 134 138 139 141 142 147 175 181 183 194 197 204 207 210 213 216 222 223 256 267 270","11:ATTEND_BE_PRESENT | 12:HELP_ASSIST | 52:OBSERVE | 70:IDENTIFY | 73:RECOGNIZE","Les 32 entrées mêlent verbes, noms d’action, mouvement, souffrance et risque.","Conserver un type « action » ou redistribuer 32 entrées ?","moyen","0.6"
"activité","activité","2","285 286","285:AGRICOLE | 286:PRODUCTION","AGRICOLE est une propriété et PRODUCTION un processus ou résultat.","Séparer propriété agricole et production ?","moyen","0.6"
"adverbe","grammaire","1","165","165:TRES","TRES est un adverbe d’intensité ; il faut choisir entre grammaire et sémantique.","Le champ peut-il porter une catégorie grammaticale ?","moyen","0.6"
"agir","action","2","232 233","232:PROVOQUER | 233:SUBIR","PROVOQUER et SUBIR sont des procès opposés ; la catégorie reste générale.","Conserver un procès général ou redistribuer provoquer/subir ?","moyen","0.6"
"description","description","5","15 16 26 27 326","15:WIDE_BROAD | 16:LONG_LENGTHY | 26:REASONABLE_SENSIBLE | 27:SENSITIVE_EMOTIONAL | 326:NATUREL","Large, long, sensible et naturel n’ont pas de domaine thématique commun.","Accepter une catégorie métalinguistique descriptive ?","moyen","0.6"
"general","général","8","3 20 22 23 31 33 34 35","3:IMPORTANT_SIGNIFICANT | 20:PROBLEM_DIFFICULTY | 22:GENERAL_COMMON | 23:DIFFERENT_NOT_SAME | 31:ORGANIZATION_ENTITY","Important, problème, différent, organisation, scientifique, promouvoir et comprendre sont hétérogènes.","Comment redistribuer huit concepts hétérogènes ?","moyen","0.6"
"grammaire/déterminant","grammaire","1","311","311:PRONOM_DEFINI_MAS_SING","DU est décrit comme article malgré une clé PRONOM ; le sous-niveau reste à décider.","Conserver des sous-domaines grammaticaux ?","moyen","0.6"
"grammaire/pronom","grammaire","1","310","310:PRONOM_DEFINI_PLURIEL","LES est décrit comme pronom ; la cohérence du sous-niveau reste à décider.","Conserver des sous-domaines grammaticaux ?","moyen","0.6"
"nature","nature","16","159 161 164 176 185 186 196 218 230 252 272 273 274 291 325 327","159:GLACIER | 161:PLANETE_TERRE | 164:CLIMATIQUE | 176:NATURE | 185:POLAIRE","Glacier, Terre, climat, mer, habitat, faune, flore et déforestation pourraient justifier des sous-domaines.","Quel niveau entre nature, climat, habitat et environnement ?","moyen","0.6"
"qualité","qualité","28","55 60 72 75 79 81 88 89 91 127 137 166 167 169 171 178 184 191 214 231 235 237 239 255 259 268 280 288","55:ACCESSIBLE | 60:COMMON | 72:FAMILIAR | 75:USEFUL | 79:PROGRESSIVE","Les 28 adjectifs couvrent accessibilité, durée, intensité, humanité, climat et logique.","Accepter « qualité » comme type conceptuel ?","moyen","0.6"
"quantité","quantité","10","96 103 116 130 133 149 193 195 202 247","96:BEAUCOUP_DE | 103:MAS_ADVERB_MORE | 116:CADA_DETERMINER_EACH_EVERY | 130:BEAUCOUP | 133:ALGUNO","Quantificateurs, niveau, élévation et million mêlent grammaire, mesure et changement.","Séparer quantification, mesure et changement ?","moyen","0.6"
"relation","relations logiques","5","145 152 192 253 275","145:SANS | 152:DONC | 192:PAR_CONSEQUENT | 253:CAUSE | 275:CAUSE_NOM","SANS, DONC et PAR CONSEQUENT relèvent du discours, mais CAUSE relève aussi de la causalité.","Séparer relations logiques et causalité ?","moyen","0.6"
"temps","temps","4","58 108 179 229","58:QUICKLY | 108:CUANDO_CONJUNCTION_WHEN | 179:PREMIEREMENT | 229:EVENEMENT","RAPIDEMENT, QUAND, PREMIEREMENT et EVENEMENT mêlent temps, manière et discours.","Séparer temps, manière et discours ?","moyen","0.6"
"temps_manière","relations logiques","1","221","221:CONSEQUEMMENT","CONSEQUEMMENT marque surtout une conséquence logique.","Reclasser CONSEQUEMMENT en relations logiques ?","moyen","0.6"
"économie","économie","3","126 257 258","126:RESULTAT | 257:PRODUCTION_AGRICOLE | 258:FOOD_SUPPLY","PRODUCTION_AGRICOLE est économique, mais RESULTAT et ALIMENTATION ne le sont pas nécessairement.","Où classer RESULTAT et ALIMENTATION ?","moyen","0.6"
"être","personne","1","203","203:PERSONNE","PERSONNE désigne un être humain ; personne ou société serait plus explicite.","Personne, société ou type conceptuel « être » ?","moyen","0.6"

